,Edge,Min Odds Away,Min Odds Home,Max Odds Away,Max Odds Home,Profit,Percentage
343,4.0,-1000.0,-300.0,500.0,600.0,-716.8,0.33
344,4.0,-1000.0,-300.0,500.0,500.0,-716.8,0.33
345,4.0,-1000.0,-300.0,500.0,400.0,-716.8,0.33
346,4.0,-1000.0,-300.0,500.0,300.0,-760.8,0.33
347,4.0,-1000.0,-300.0,500.0,200.0,-727.8,0.34
348,4.0,-1000.0,-300.0,500.0,150.0,-355.79999999999995,0.35
349,4.0,-1000.0,-300.0,500.0,125.0,-253.79999999999995,0.35
350,4.0,-1000.0,-300.0,500.0,0.0,-196.79999999999995,0.35
351,4.0,-1000.0,-300.0,400.0,1000.0,-812.8,0.33
352,4.0,-1000.0,-300.0,400.0,600.0,-812.8,0.33
353,4.0,-1000.0,-300.0,400.0,500.0,-812.8,0.33
354,4.0,-1000.0,-300.0,400.0,400.0,-812.8,0.33
355,4.0,-1000.0,-300.0,400.0,300.0,-856.8,0.33
356,4.0,-1000.0,-300.0,400.0,200.0,-823.8,0.34
357,4.0,-1000.0,-300.0,400.0,150.0,-451.79999999999995,0.35
358,4.0,-1000.0,-300.0,400.0,125.0,-349.79999999999995,0.35
359,4.0,-1000.0,-300.0,400.0,0.0,-292.79999999999995,0.35
360,4.0,-1000.0,-300.0,300.0,1000.0,-762.8,0.34
361,4.0,-1000.0,-300.0,300.0,600.0,-762.8,0.34
362,4.0,-1000.0,-300.0,300.0,500.0,-762.8,0.34
363,4.0,-1000.0,-300.0,300.0,400.0,-762.8,0.34
364,4.0,-1000.0,-300.0,300.0,300.0,-806.8,0.34
365,4.0,-1000.0,-300.0,300.0,200.0,-773.8,0.34
366,4.0,-1000.0,-300.0,300.0,150.0,-401.79999999999995,0.36
367,4.0,-1000.0,-300.0,300.0,125.0,-299.79999999999995,0.36
368,4.0,-1000.0,-300.0,300.0,0.0,-242.79999999999995,0.36
369,4.0,-1000.0,-300.0,200.0,1000.0,-658.8,0.36
370,4.0,-1000.0,-300.0,200.0,600.0,-658.8,0.36
371,4.0,-1000.0,-300.0,200.0,500.0,-658.8,0.36
372,4.0,-1000.0,-300.0,200.0,400.0,-658.8,0.36
373,4.0,-1000.0,-300.0,200.0,300.0,-702.8,0.36
374,4.0,-1000.0,-300.0,200.0,200.0,-669.8,0.37
375,4.0,-1000.0,-300.0,200.0,150.0,-297.79999999999995,0.4
376,4.0,-1000.0,-300.0,200.0,125.0,-195.79999999999995,0.41
